id,name,description,cpu_class,socket,clock_speed,turbo_speed,cores,threads,total_cores,primary_cores,secondary_cores,performance_cores,efficient_cores,typical_tdp,tdp_down,tdp_up,cache_per_cpu_package,cache_per_effective_cpu_package,memory_support,other_names,first_seen_on_charts,cpu_mark_per_dollar_price,overall_rank,last_price_change,multi_thread_rating,single_thread_rating,num_samples,margin_for_error,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,relative_gaming_score
5870,QTI SM7435,,Mobile/Embedded,,2.4 GHz,,8,8,,,,,,,,,,,,QTI SM7435,Q1 2024,NA,1935th fastest in multithreading out of 5149 CPUs; 2099th fastest in single threading out of 5149 CPUs; 226th fastest in out of 1107 Mobile/Embedded CPUs,NA,5762,1716,130,Low,"25,780 MOps/Sec","12,400 MOps/Sec",11 Million Primes/Sec,"14,959 Thousand Strings/Sec","3,772 MBytes/Sec","91,715 KBytes/Sec",227 Frames/Sec,"2,521 Million Matrices/Sec",
5871,Intel Core i7-13700E,Intel UHD Graphics 770,Mobile/Embedded,FCLGA1700,,,,,"16 Cores, 24 Threads",,,"8 Cores, 16 Threads, 1.9 GHz Base, 5.1 GHz Turbo","8 Cores, 8 Threads, 1.3 GHz Base, 3.9 GHz Turbo",65 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 48 KB; L2 Cache: 8 x 2048 KB; L3 Cache: 30 MB,Eff. L1 Instruction Cache: 8 x 64 KB; Eff. L1 Data Cache: 8 x 32 KB; Eff. L2 Cache: 2 x 4096 KB,,"13th Gen Intel(R) Core(TM) i7-13700E, 13th Gen Intel Core i7-13700E",Q1 2024,88.66,323rd fastest in multithreading out of 5149 CPUs; 490th fastest in single threading out of 5149 CPUs; 2nd fastest in out of 1107 Mobile/Embedded CPUs,$390.00 USD (2023-01-01),34577,3272,96,Low,"129,288 MOps/Sec","87,053 MOps/Sec",137 Million Primes/Sec,"52,346 Thousand Strings/Sec","27,294 MBytes/Sec","397,510 KBytes/Sec","2,510 Frames/Sec","20,980 Million Matrices/Sec",
5877,Mediatek MT6769,,Mobile/Embedded,,2.0 GHz,,8,8,,,,,,,,,,,,Mediatek MT6769,Q1 2024,NA,2756th fastest in multithreading out of 5149 CPUs; 3208th fastest in single threading out of 5149 CPUs; 489th fastest in out of 1107 Mobile/Embedded CPUs,NA,2858,1111,89,Low,"19,050 MOps/Sec","4,642 MOps/Sec",6 Million Primes/Sec,"9,300 Thousand Strings/Sec","2,606 MBytes/Sec","47,039 KBytes/Sec",151 Frames/Sec,877 Million Matrices/Sec,
5878,Spreadtrum T603,,Mobile/Embedded,,1.8 GHz,,8,8,,,,,,,,,,,,Spreadtrum T603,Q1 2024,NA,3410th fastest in multithreading out of 5149 CPUs; 4330th fastest in single threading out of 5149 CPUs; 678th fastest in out of 1107 Mobile/Embedded CPUs,NA,1765,552,6,Medium,"15,360 MOps/Sec","2,832 MOps/Sec",5 Million Primes/Sec,"6,660 Thousand Strings/Sec","1,799 MBytes/Sec","28,399 KBytes/Sec",95 Frames/Sec,440 Million Matrices/Sec,
5879,AMD Ryzen 5 7645HX,AMD Radeon 610M,Laptop,AM5 (LGA 1718),4.0 GHz,5.0 GHz,6,12,,,,,,55 W,45 W,75 W,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 1024 KB; L3 Cache: 32 MB,,,AMD Ryzen 5 7645HX with Radeon Graphics,Q1 2024,NA,513th fastest in multithreading out of 5149 CPUs; 174th fastest in single threading out of 5149 CPUs; 78th fastest in out of 1491 Laptop CPUs,NA,26476,3907,2,High,"77,432 MOps/Sec","48,798 MOps/Sec",178 Million Primes/Sec,"34,434 Thousand Strings/Sec","17,900 MBytes/Sec","302,256 KBytes/Sec","1,497 Frames/Sec","22,969 Million Matrices/Sec","5,481"
5881,ARM Cortex-A76 4 Core 2700 MHz,,Mobile/Embedded,,2.7 GHz,,4,4,,,,,,,,,,,,ARM Cortex-A76 4 Core 2700 MHz,Q1 2024,NA,3009th fastest in multithreading out of 5149 CPUs; 3077th fastest in single threading out of 5149 CPUs; 581st fastest in out of 1107 Mobile/Embedded CPUs,NA,2383,1169,31,Low,"16,710 MOps/Sec","13,042 MOps/Sec",6 Million Primes/Sec,"4,788 Thousand Strings/Sec",601.7 MBytes/Sec,"20,373 KBytes/Sec",118 Frames/Sec,"2,655 Million Matrices/Sec",
5882,AMD Ryzen 9 7940HX,with Radeon Graphics,"Desktop, Laptop",AM5 (LGA 1718),2.4 GHz,5.2 GHz,16,32,,,,,,55 W,,,L1 Instruction Cache: 16 x 32 KB; L1 Data Cache: 16 x 32 KB; L2 Cache: 16 x 1024 KB; L3 Cache: 64 MB,,,AMD Ryzen 9 7940HX with Radeon Graphics,Q1 2024,NA,160th fastest in multithreading out of 5149 CPUs; 147th fastest in single threading out of 5149 CPUs; 39th fastest in out of 1449 Desktop CPUs; 9th fastest in out of 1491 Laptop CPUs,NA,54335,3985,224,Low,"206,885 MOps/Sec","124,061 MOps/Sec",275 Million Primes/Sec,"83,688 Thousand Strings/Sec","42,957 MBytes/Sec","713,081 KBytes/Sec","2,315 Frames/Sec","52,749 Million Matrices/Sec","5,313"
5884,AMD Ryzen 7 5700X3D,,Desktop,AM4,3.0 GHz,4.1 GHz,8,16,,,,,,105 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 512 KB; L3 Cache: 96 MB,,,AMD Ryzen 7 5700X3D 8-Core Processor,Q1 2024,102.58,519th fastest in multithreading out of 5149 CPUs; 656th fastest in single threading out of 5149 CPUs; 168th fastest in out of 1449 Desktop CPUs,$256.65 USD (2025-06-12),26326,2970,4341,Low,"81,303 MOps/Sec","46,501 MOps/Sec",224 Million Primes/Sec,"31,489 Thousand Strings/Sec","18,797 MBytes/Sec","307,396 KBytes/Sec","2,687 Frames/Sec","21,210 Million Matrices/Sec","7,822"
5885,AMD Ryzen 5 5600GT,with Radeon Graphics,Desktop,AM4,3.6 GHz,4.6 GHz,6,12,,,,,,65 W,45 W,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 512 KB; L3 Cache: 16 MB,,,AMD Ryzen 5 5600GT with Radeon Graphics,Q1 2024,156.47,768th fastest in multithreading out of 5149 CPUs; 454th fastest in single threading out of 5149 CPUs; 263rd fastest in out of 1449 Desktop CPUs,$130.00 USD (2025-06-12),20341,3346,739,Low,"69,688 MOps/Sec","39,848 MOps/Sec",57 Million Primes/Sec,"26,179 Thousand Strings/Sec","15,894 MBytes/Sec","258,599 KBytes/Sec",878 Frames/Sec,"18,014 Million Matrices/Sec","3,000"
5886,Intel Core i9-14900,Intel UHD Graphics 770,Desktop,FCLGA1700,,,,,"24 Cores, 32 Threads",,,"8 Cores, 16 Threads, 2.0 GHz Base, 5.8 GHz Turbo","16 Cores, 16 Threads, 1.5 GHz Base, 4.3 GHz Turbo",65 W,,219 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 48 KB; L2 Cache: 8 x 2048 KB; L3 Cache: 36 MB,Eff. L1 Instruction Cache: 16 x 64 KB; Eff. L1 Data Cache: 16 x 32 KB; Eff. L2 Cache: 4 x 4096 KB,"Max. Memory Size: 192 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s, ECC Supported)","Intel(R) Core(TM) i9-14900, Intel Core i9-14900",Q1 2024,75.09,225th fastest in multithreading out of 5149 CPUs; 59th fastest in single threading out of 5149 CPUs; 57th fastest in out of 1449 Desktop CPUs,$606.99 USD (2025-06-05),45578,4407,441,Low,"180,005 MOps/Sec","123,822 MOps/Sec",186 Million Primes/Sec,"62,614 Thousand Strings/Sec","34,448 MBytes/Sec","567,480 KBytes/Sec","2,457 Frames/Sec","31,517 Million Matrices/Sec","6,631"
5887,ZHAOXIN Z3-6540M@2.1+GHz,,Desktop,,2.1 GHz,2.6 GHz,4,4,,,,,,,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 4096 KB,,,ZHAOXIN Z3-6540M@2.1+GHz,Q1 2024,NA,3682nd fastest in multithreading out of 5149 CPUs; 4050th fastest in single threading out of 5149 CPUs; 1110th fastest in out of 1449 Desktop CPUs,NA,1378,690,6,Medium,"3,161 MOps/Sec","2,130 MOps/Sec",7 Million Primes/Sec,"3,242 Thousand Strings/Sec",540.6 MBytes/Sec,"23,883 KBytes/Sec",139 Frames/Sec,825 Million Matrices/Sec,
5889,Intel Core i5-14500T,Intel UHD Graphics 770,Desktop,FCLGA1700,,,,,"14 Cores, 20 Threads",,,"6 Cores, 12 Threads, 1.7 GHz Base, 4.8 GHz Turbo","8 Cores, 8 Threads, 1.2 GHz Base, 3.4 GHz Turbo",35 W,,92 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 64 KB; L2 Cache: 2 x 2048 KB; L3 Cache: 24 MB,,"Max. Memory Size: 192 GB (Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s, ECC Supported)","Intel(R) Core(TM) i5-14500T, Intel Core i5-14500T",Q1 2024,99.23,636th fastest in multithreading out of 5149 CPUs; 250th fastest in single threading out of 5149 CPUs; 209th fastest in out of 1449 Desktop CPUs,$232.00 USD (2024-01-01),23021,3748,203,Low,"81,604 MOps/Sec","58,878 MOps/Sec",83 Million Primes/Sec,"28,382 Thousand Strings/Sec","15,449 MBytes/Sec","262,238 KBytes/Sec","1,318 Frames/Sec","16,058 Million Matrices/Sec","4,431"
5890,Intel Core i5-13500E,Intel UHD Graphics 770,Mobile/Embedded,FCLGA1700,,,,,"14 Cores, 20 Threads",,,"6 Cores, 12 Threads, 2.4 GHz Base, 4.6 GHz Turbo","8 Cores, 8 Threads, 1.5 GHz Base, 3.3 GHz Turbo",65 W,,,,,"Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s, ECC Supported)","13th Gen Intel Core i5-13500E, 13th Gen Intel(R) Core(TM) i5-13500E",Q1 2024,107.50,546th fastest in multithreading out of 5149 CPUs; 622nd fastest in single threading out of 5149 CPUs; 12th fastest in out of 1107 Mobile/Embedded CPUs,$235.00 USD (2023-01-01),25263,3027,3,High,"91,108 MOps/Sec","64,394 MOps/Sec",84 Million Primes/Sec,"36,976 Thousand Strings/Sec","19,371 MBytes/Sec","296,889 KBytes/Sec","1,477 Frames/Sec","16,750 Million Matrices/Sec",
5891,Intel Xeon Gold 6434,,Server,FCLGA4677,3.7 GHz,4.1 GHz,8,16,,,,,,195 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 48 KB; L2 Cache: 8 x 2048 KB; L3 Cache: 23 MB,,"Max. Memory Size: 4.0 TB (Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC, ECC Supported)",Intel(R) Xeon(R) Gold 6434,Q1 2024,11.91,462nd fastest in multithreading out of 5149 CPUs; 546th fastest in single threading out of 5149 CPUs; 275th fastest in out of 1105 Server CPUs,"$2,359.45 USD (2025-03-25)",28111,3184,6,Medium,"82,764 MOps/Sec","87,741 MOps/Sec",236 Million Primes/Sec,"39,117 Thousand Strings/Sec","11,279 MBytes/Sec","346,173 KBytes/Sec","2,455 Frames/Sec","34,004 Million Matrices/Sec",
5892,Intel Core 5 120U,Intel Graphics,Mobile/Embedded,FCBGA1744,,,,,"10 Cores, 12 Threads",,,"2 Cores, 4 Threads, 1.4 GHz Base, 5.0 GHz Turbo","8 Cores, 8 Threads, 0.9 GHz Base, 3.8 GHz Turbo",15 W,12 W,55 W,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 48 KB; L2 Cache: 2 x 1280 KB; L3 Cache: 12 MB,Eff. L1 Instruction Cache: 8 x 64 KB; Eff. L1 Data Cache: 8 x 32 KB; Eff. L2 Cache: 2 x 2048 KB,Max. Memory Size: 96 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT),"Intel(R) Core(TM) 5 120U, Intel Core 5 120U, Intel 5 120U",Q1 2024,50.38,939th fastest in multithreading out of 5149 CPUs; 245th fastest in single threading out of 5149 CPUs; 48th fastest in out of 1107 Mobile/Embedded CPUs,$340.00 USD (2024-01-01),17130,3760,521,Low,"57,582 MOps/Sec","40,287 MOps/Sec",65 Million Primes/Sec,"21,800 Thousand Strings/Sec","11,917 MBytes/Sec","188,525 KBytes/Sec","1,104 Frames/Sec","10,456 Million Matrices/Sec",
5893,ARM Cortex-A76 4 Core 2600 MHz,,Mobile/Embedded,,2.6 GHz,,4,4,,,,,,,,,,,,ARM Cortex-A76 4 Core 2600 MHz,Q1 2024,NA,3046th fastest in multithreading out of 5149 CPUs; 3153rd fastest in single threading out of 5149 CPUs; 588th fastest in out of 1107 Mobile/Embedded CPUs,NA,2323,1135,55,Low,"15,966 MOps/Sec","12,524 MOps/Sec",6 Million Primes/Sec,"4,844 Thousand Strings/Sec",582.5 MBytes/Sec,"20,255 KBytes/Sec",118 Frames/Sec,"2,584 Million Matrices/Sec",
5894,AMD Ryzen 5 5500GT,with Radeon Graphics,Desktop,AM4,3.6 GHz,4.4 GHz,6,12,,,,,,65 W,45 W,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 512 KB; L3 Cache: 16 MB,,,AMD Ryzen 5 5500GT with Radeon Graphics,Q1 2024,116.76,843rd fastest in multithreading out of 5149 CPUs; 652nd fastest in single threading out of 5149 CPUs; 285th fastest in out of 1449 Desktop CPUs,$161.00 USD (2025-06-05),18798,2976,438,Low,"63,106 MOps/Sec","35,945 MOps/Sec",54 Million Primes/Sec,"24,419 Thousand Strings/Sec","14,610 MBytes/Sec","240,223 KBytes/Sec",859 Frames/Sec,"16,651 Million Matrices/Sec","2,808"
5895,Intel Xeon E E-2434,,Server,FCLGA1700,3.4 GHz,5.0 GHz,4,8,,,,,,55 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 48 KB; L2 Cache: 4 x 2048 KB; L3 Cache: 12 MB,,"Max. Memory Size: 128 GB (DDR5-4800, ECC Supported)","Intel(R) Xeon(R) E E-2434, Intel Xeon E E-2434",Q1 2024,53.85,1031st fastest in multithreading out of 5149 CPUs; 229th fastest in single threading out of 5149 CPUs; 475th fastest in out of 1105 Server CPUs,$281.00 USD (2023-10-01),15133,3800,10,Medium,"45,328 MOps/Sec","34,651 MOps/Sec",62 Million Primes/Sec,"18,397 Thousand Strings/Sec","8,948 MBytes/Sec","165,516 KBytes/Sec","1,218 Frames/Sec","10,481 Million Matrices/Sec",
5896,Qualcomm SDM630,,Mobile/Embedded,,2.2 GHz,,8,8,,,,,,,,,,,,Qualcomm SDM630,Q1 2024,NA,2982nd fastest in multithreading out of 5149 CPUs; 4149th fastest in single threading out of 5149 CPUs; 573rd fastest in out of 1107 Mobile/Embedded CPUs,NA,2429,631,2,High,"22,229 MOps/Sec","3,624 MOps/Sec",6 Million Primes/Sec,"8,457 Thousand Strings/Sec","3,120 MBytes/Sec","42,942 KBytes/Sec",121 Frames/Sec,633 Million Matrices/Sec,
5897,AMD EPYC 9634,,Server,SP5,3.1 GHz,3.7 GHz,84,168,,,,,,290 W,240 W,300 W,L1 Instruction Cache: 84 x 32 KB; L1 Data Cache: 84 x 32 KB; L2 Cache: 84 x 1024 KB; L3 Cache: 384 MB,,,AMD EPYC 9634 84-Core Processor,Q1 2024,27.33,20th fastest in multithreading out of 5149 CPUs; 676th fastest in single threading out of 5149 CPUs; 17th fastest in out of 1105 Server CPUs,"$3,949.99 USD (2024-12-23)",107944,2924,2,High,"725,356 MOps/Sec","353,784 MOps/Sec","1,176 Million Primes/Sec","261,134 Thousand Strings/Sec","151,943 MBytes/Sec","2,236,412 KBytes/Sec","12,291 Frames/Sec","137,543 Million Matrices/Sec",
5898,AMD EPYC 9184X,,Server,SP5,3.6 GHz,4.2 GHz,16,32,,,,,,320 W,,400 W,L1 Instruction Cache: 16 x 32 KB; L1 Data Cache: 16 x 32 KB; L2 Cache: 16 x 1024 KB; L3 Cache: 768 MB,,,AMD EPYC 9184X 16-Core Processor,Q1 2024,12.71,200th fastest in multithreading out of 5149 CPUs; 728th fastest in single threading out of 5149 CPUs; 147th fastest in out of 1105 Server CPUs,"$3,750.00 USD (2024-10-30)",47665,2822,6,Medium,"157,483 MOps/Sec","95,476 MOps/Sec",465 Million Primes/Sec,"79,913 Thousand Strings/Sec","37,376 MBytes/Sec","614,873 KBytes/Sec","6,674 Frames/Sec","43,562 Million Matrices/Sec",
5902,ARM Cortex-A73 4 Core 2100 MHz,,Mobile/Embedded,,2.1 GHz,,4,4,,,,,,,,,,,,ARM Cortex-A73 4 Core 2100 MHz,Q1 2024,NA,3848th fastest in multithreading out of 5149 CPUs; 4284th fastest in single threading out of 5149 CPUs; 784th fastest in out of 1107 Mobile/Embedded CPUs,NA,1185,570,2,High,"12,997 MOps/Sec","5,096 MOps/Sec",6 Million Primes/Sec,"5,993 Thousand Strings/Sec",230.9 MBytes/Sec,"10,586 KBytes/Sec",158 Frames/Sec,689 Million Matrices/Sec,
5903,Intel Core i9-14900T,Intel UHD Graphics 770,Desktop,FCLGA1700,,,,,"24 Cores, 32 Threads",,,"8 Cores, 16 Threads, 1.1 GHz Base, 5.5 GHz Turbo","16 Cores, 16 Threads, 0.8 GHz Base, 4.0 GHz Turbo",35 W,,106 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 48 KB; L2 Cache: 8 x 2048 KB; L3 Cache: 36 MB,Eff. L1 Instruction Cache: 16 x 64 KB; Eff. L1 Data Cache: 16 x 32 KB; Eff. L2 Cache: 4 x 4096 KB,"Max. Memory Size: 192 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s, ECC Supported)","Intel(R) Core(TM) i9-14900T, Intel Core i9-14900T",Q1 2024,73.98,265th fastest in multithreading out of 5149 CPUs; 106th fastest in single threading out of 5149 CPUs; 71st fastest in out of 1449 Desktop CPUs,$549.00 USD (2024-01-01),40617,4135,24,Low,"147,520 MOps/Sec","99,245 MOps/Sec",189 Million Primes/Sec,"57,343 Thousand Strings/Sec","31,263 MBytes/Sec","499,080 KBytes/Sec","2,716 Frames/Sec","26,150 Million Matrices/Sec","6,897"
5905,Snapdragon 7cPlus Gen 3 @ 2.40 GHz,,Mobile/Embedded,,2.4 GHz,,8,8,,,,,,,,,,,,Snapdragon(TM) 7cPlus Gen 3 @ 2.40 GHz,Q1 2024,NA,1888th fastest in multithreading out of 5149 CPUs; 2114th fastest in single threading out of 5149 CPUs; 215th fastest in out of 1107 Mobile/Embedded CPUs,NA,6044,1706,2,High,"26,306 MOps/Sec","12,296 MOps/Sec",14 Million Primes/Sec,"13,939 Thousand Strings/Sec","4,939 MBytes/Sec","87,780 KBytes/Sec",249 Frames/Sec,"2,320 Million Matrices/Sec",
5906,Intel Xeon E E-2414,,Server,FCLGA1700,2.6 GHz,4.5 GHz,4,4,,,,,,55 W,,,,,"Max. Memory Size: 128 GB (DDR5-4800, ECC Supported)","Intel Xeon E E-2414, Intel(R) Xeon(R) E E-2414",Q1 2024,38.91,1233rd fastest in multithreading out of 5149 CPUs; 335th fastest in single threading out of 5149 CPUs; 555th fastest in out of 1105 Server CPUs,$306.53 USD (2025-04-16),11929,3563,8,Medium,"25,979 MOps/Sec","30,870 MOps/Sec",110 Million Primes/Sec,"15,137 Thousand Strings/Sec","6,268 MBytes/Sec","113,068 KBytes/Sec","1,373 Frames/Sec","10,094 Million Matrices/Sec",
5910,Intel Atom C3508 @ 1.60GHz,,Server,FCBGA1310,1.6 GHz,,4,4,,,,,,11.5 W,,,,,"Max. Memory Size: 256 GB (DDR4: 1866, ECC Supported)",Intel Atom CPU C3508 @ 1.60GHz,Q1 2024,20.47,3386th fastest in multithreading out of 5149 CPUs; 4136th fastest in single threading out of 5149 CPUs; 1008th fastest in out of 1105 Server CPUs,$87.75 USD (2017-07-01),1796,636,1,High,"8,516 MOps/Sec","2,329 MOps/Sec",9 Million Primes/Sec,"3,940 Thousand Strings/Sec","1,271 MBytes/Sec","27,682 KBytes/Sec",172 Frames/Sec,569 Million Matrices/Sec,
5912,Mediatek MT6983Z/CZA,,Mobile/Embedded,,3.1 GHz,,8,8,,,,,,,,,,,,Mediatek MT6983Z/CZA,Q1 2024,NA,1586th fastest in multithreading out of 5149 CPUs; 1279th fastest in single threading out of 5149 CPUs; 143rd fastest in out of 1107 Mobile/Embedded CPUs,NA,7726,2255,2,High,"30,972 MOps/Sec","17,213 MOps/Sec",25 Million Primes/Sec,"19,054 Thousand Strings/Sec","3,511 MBytes/Sec","103,856 KBytes/Sec",474 Frames/Sec,"3,191 Million Matrices/Sec",
5913,AMD EPYC 8434P,,Server,SP6,2.5 GHz,3.1 GHz,48,96,,,,,,200 W,155 W,225 W,,,,AMD EPYC 8434P 48-Core Processor,Q1 2024,NA,85th fastest in multithreading out of 5149 CPUs; 1054th fastest in single threading out of 5149 CPUs; 72nd fastest in out of 1105 Server CPUs,NA,66490,2448,11,Medium,"385,290 MOps/Sec","215,669 MOps/Sec",298 Million Primes/Sec,"125,932 Thousand Strings/Sec","97,254 MBytes/Sec","1,412,835 KBytes/Sec","4,036 Frames/Sec","86,189 Million Matrices/Sec",
5914,Mediatek MT8390AV/A,,Mobile/Embedded,,2.2 GHz,,8,8,,,,,,,,,,,,Mediatek MT8390AV/A,Q1 2024,NA,2121st fastest in multithreading out of 5149 CPUs; 1711th fastest in single threading out of 5149 CPUs; 279th fastest in out of 1107 Mobile/Embedded CPUs,NA,4920,1956,4,High,"23,867 MOps/Sec","7,989 MOps/Sec",15 Million Primes/Sec,"12,555 Thousand Strings/Sec","3,942 MBytes/Sec","76,616 KBytes/Sec",258 Frames/Sec,"1,565 Million Matrices/Sec",
5915,AMD Ryzen 7 8845HS,w/ Radeon 780M Graphics,"Desktop, Laptop",FP7 FP7r2 FP8,3.8 GHz,5.1 GHz,8,16,,,,,,45 W,35 W,54 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 1024 KB; L3 Cache: 16 MB,,,"AMD Ryzen 7 8845HS w/ Radeon 780M Graphics, AMD Ryzen 7 8845HS w/ Radeon(TM) 780M Graphics",Q1 2024,NA,450th fastest in multithreading out of 5149 CPUs; 254th fastest in single threading out of 5149 CPUs; 144th fastest in out of 1449 Desktop CPUs; 65th fastest in out of 1491 Laptop CPUs,NA,28521,3742,2000,Low,"97,916 MOps/Sec","59,385 MOps/Sec",86 Million Primes/Sec,"41,485 Thousand Strings/Sec","20,441 MBytes/Sec","345,420 KBytes/Sec","1,343 Frames/Sec","25,722 Million Matrices/Sec","3,453"
5922,Intel Xeon E E-2486,,Server,FCLGA1700,3.5 GHz,5.6 GHz,6,12,,,,,,95 W,,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 48 KB; L2 Cache: 6 x 2048 KB; L3 Cache: 18 MB,,"Max. Memory Size: 128 GB (DDR5-4800, ECC Supported)",Intel(R) Xeon(R) E E-2486,Q1 2024,46.65,611th fastest in multithreading out of 5149 CPUs; 180th fastest in single threading out of 5149 CPUs; 335th fastest in out of 1105 Server CPUs,$506.00 USD (2023-10-01),23605,3897,5,High,"72,477 MOps/Sec","55,103 MOps/Sec",114 Million Primes/Sec,"26,644 Thousand Strings/Sec","13,909 MBytes/Sec","272,004 KBytes/Sec","1,875 Frames/Sec","17,830 Million Matrices/Sec",
5924,AMD Ryzen 9 8945H,w/ Radeon 780M Graphics,"Desktop, Laptop",FP7 FP7r2 FP8,4.0 GHz,5.2 GHz,8,16,,,,,,45 W,35 W,54 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 1024 KB; L3 Cache: 16 MB,,,AMD Ryzen 9 8945H w/ Radeon 780M Graphics,Q1 2024,NA,404th fastest in multithreading out of 5149 CPUs; 156th fastest in single threading out of 5149 CPUs; 129th fastest in out of 1449 Desktop CPUs; 47th fastest in out of 1491 Laptop CPUs,NA,30267,3949,76,Low,"104,312 MOps/Sec","64,752 MOps/Sec",85 Million Primes/Sec,"44,424 Thousand Strings/Sec","21,917 MBytes/Sec","375,944 KBytes/Sec","1,321 Frames/Sec","28,862 Million Matrices/Sec","3,508"
5926,AMD Ryzen 9 8945HS,w/ Radeon 780M Graphics,"Desktop, Laptop",FP7 FP7r2 FP8,4.0 GHz,5.2 GHz,8,16,,,,,,45 W,35 W,54 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 1024 KB; L3 Cache: 16 MB,,,AMD Ryzen 9 8945HS w/ Radeon 780M Graphics,Q1 2024,NA,416th fastest in multithreading out of 5149 CPUs; 201st fastest in single threading out of 5149 CPUs; 135th fastest in out of 1449 Desktop CPUs; 51st fastest in out of 1491 Laptop CPUs,NA,29812,3849,731,Low,"101,338 MOps/Sec","61,918 MOps/Sec",92 Million Primes/Sec,"43,212 Thousand Strings/Sec","21,351 MBytes/Sec","357,272 KBytes/Sec","1,432 Frames/Sec","27,027 Million Matrices/Sec","3,624"
5927,Intel Xeon Gold 5520+,,Server,FCLGA4677,2.2 GHz,0.4 GHz,28,56,,,,,,205 W,,,,,"Max. Memory Size: 4.0 TB (Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC, ECC Supported)","INTEL XEON GOLD 5520+, INTEL(R) XEON(R) GOLD 5520+",Q1 2024,33.10,108th fastest in multithreading out of 5149 CPUs; 522nd fastest in single threading out of 5149 CPUs; 90th fastest in out of 1105 Server CPUs,"$1,849.99 USD (2024-11-10)",61227,3216,1,High,"216,710 MOps/Sec","155,543 MOps/Sec",285 Million Primes/Sec,"109,483 Thousand Strings/Sec","48,272 MBytes/Sec","829,618 KBytes/Sec","6,207 Frames/Sec","59,176 Million Matrices/Sec",
5928,Intel Xeon Gold 6548Y+,,Server,FCLGA4677,2.5 GHz,4.1 GHz,32,64,,,,,,205 W,,,,,"Max. Memory Size: 4.0 TB (Up to DDR5 5200 MT/s 1DPC, ECC Supported)","INTEL XEON GOLD 6548Y+, INTEL(R) XEON(R) GOLD 6548Y+",Q1 2024,18.90,71st fastest in multithreading out of 5149 CPUs; 691st fastest in single threading out of 5149 CPUs; 62nd fastest in out of 1105 Server CPUs,"$3,726.00 USD (2023-10-01)",70439,2901,4,High,"289,575 MOps/Sec","222,932 MOps/Sec",379 Million Primes/Sec,"113,268 Thousand Strings/Sec","56,015 MBytes/Sec","1,112,076 KBytes/Sec","6,521 Frames/Sec","89,261 Million Matrices/Sec",
5929,AMD Ryzen 7 8845H,w/ Radeon 780M Graphics,"Desktop, Laptop",FP7 FP7r2 FP8,3.8 GHz,5.1 GHz,8,16,,,,,,45 W,35 W,54 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 1024 KB; L3 Cache: 16 MB,,,"AMD Ryzen 7 8845H w/ Radeon 780M Graphics, AMD Ryzen 7 8845H w/ Radeon(TM) 780M Graphics",Q1 2024,NA,501st fastest in multithreading out of 5149 CPUs; 354th fastest in single threading out of 5149 CPUs; 164th fastest in out of 1449 Desktop CPUs; 73rd fastest in out of 1491 Laptop CPUs,NA,26925,3527,61,Low,"92,175 MOps/Sec","56,202 MOps/Sec",81 Million Primes/Sec,"39,014 Thousand Strings/Sec","19,571 MBytes/Sec","327,184 KBytes/Sec","1,280 Frames/Sec","24,338 Million Matrices/Sec","3,272"
